"","Name","Location","Tags","Group","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","URL Category","Action","Profile","Options","Rule UUID","Target","Rule Usage Description","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"1","PaloAlto_Update","PA01","none","none","universal","HKA;trust","192.168.36.9;PA01_mgmt;PA02_mgmt;PA_mgmt1;PA_mgmt2","any","any","untrust","any","any","paloalto-updates;paloalto-wildfire-cloud;pan-db-cloud;ssl","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c87baf49-5d79-4cb4-a6cd-b0460addefdb","any","none","Used","5","59","2022-02-24 09:53:43","2021-07-29 13:42:50"
"2","Adler_Update","PA01","none","none","universal","trust","Adler RAL-Mischmaschine","any","any","untrust","Adler Update","any","ftp","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","d522051f-eb50-47a7-9d41-e5934c44c5b4","any","none","Partially Used","1","178","2022-11-25 15:02:54","2022-11-24 16:18:00"
"3","Blocklist and Sinkhole","PA01","none","none","universal","any","any","any","any","untrust","72.5.65.111;Palo Alto Networks - High risk IP addresses;Palo Alto Networks - Known malicious IP addresses","any","any","any","any","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: default","945a7e5e-b666-4bae-bec2-3ec3447e19c9","any","none","Used","0","-","2023-05-05 14:52:57","2021-07-29 13:42:50"
"4","Block QUIC for all","PA01","none","none","universal","trust","any","any","any","untrust","any","any","quic","any","any","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c0bd67b4-4a0d-478c-9cd0-6be380421d23","any","Quic ist ein Übertragungsprotokoll wiehttps und wird von Chrome verwendet. Dieses kann aktuell nicht entschlüsselt werden. Daher blocken wir es.;Stefan Wendrich","Used","1","634","2021-08-27 10:40:14","2021-07-29 13:42:50"
"5","Block_IPs_IN","PA01","Block","none","universal","any","Block_IPs","any","any","any","any","any","any","any","any","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: default","3f35a064-d948-437b-a207-b631b446f332","any","none","Unused","0","-","2023-03-23 11:53:52","2023-03-23 10:39:26"
"6","Block_IPs_OUT","PA01","Block","none","universal","any","any","any","any","any","Block_IPs","any","any","any","any","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: default","b1422c90-b331-4284-8d6c-4c5a34da6d73","any","none","Unused","0","-","2023-03-23 11:53:52","2023-03-23 10:39:26"
"7","VPN-DNS","PA01","VPN","DocuScan","universal","SSL-VPN","any","any","any","trust","Domaincontroller-Gruppe","any","dns","application-default","any","Allow","Profile Group: Grp_AV_AS_VP_01","Traffic log sent at session end;Log Forwarding Profile setting: default","8b29c6bb-3247-4311-8d19-d6ddb076d355","any","none","Used","3","63","2021-07-29 14:31:05","2021-07-29 13:42:50"
"8","NTP","PA01","none","none","universal","trust","any","any","any","untrust","any","any","nntp;ntp","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","90e508d2-2ff6-445c-9cde-1a3f9ba7e2c5","any","Regel zum Uhrzeitabgleich Bluebirds und Co.","Used","4","67","2021-07-29 14:31:05","2021-07-29 13:42:50"
"9","Umbrella","PA01","Cisco;Umbrella","none","universal","trust","umbrella-p1;umbrella-p2","any","any","untrust","any","any","any","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","d545e99a-8758-40b5-9f66-96ae37a99bda","any","none","Used","7","1","2023-05-09 10:44:57","2023-05-09 09:52:00"
"10","Umbrella_ADConnector","PA01","Cisco;Umbrella","none","universal","trust","WI222UMBRELLA-P","any","any","untrust","api.opendns.com;disthost.umbrella.com","any","ssl","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c540e323-c56b-4e01-8c68-807ffd17487c","any","none","Used","1","14","2023-05-09 11:38:18","2023-05-09 10:33:34"
"11","Umbrella_Cert_Check","PA01","Cisco;Umbrella","none","universal","trust","WI222UMBRELLA-P","any","any","untrust","crl3.digicert.com;crl4.digicert.com;ocsp.digicert.com","any","ocsp;web-browsing","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","901a8229-ca00-40cb-a9c3-c5bfd6f0b816","any","none","Used","1","14","2023-05-09 11:39:57","2023-05-09 10:43:40"
"12","PRTG Server DMZ Checks","PA01","none","none","universal","trust","PRTG Server","any","any","dmz;DMZ_Public","any","any","any","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c5d3a449-bca0-4dd9-8258-187fbddab0a8","any","none","Used","13","68","2021-07-29 14:31:05","2021-07-29 13:42:50"
"13","MX01","PA01","none","none","universal","untrust","any","any","any","dmz","MX01_pub","any","smtp","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","94ef88d5-3442-4b66-8999-99341b8ea4d0","any","none","Used","3","40","2021-07-29 14:31:05","2021-07-29 13:42:50"
"14","Hybrid SMTP","PA01","none","none","universal","untrust","Office 365 Exchange Online IPs;Office 365 Teams IPs","any","any","trust","hybridsmtp_pub","any","smtp;ssl;web-browsing","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","e76480a4-2c81-4168-b5ff-bbe4d4be21e3","any","none","Used","4","56","2023-01-31 14:27:45","2021-07-29 13:42:50"
"15","MX02","PA01","none","none","universal","untrust","any","any","any","dmz","MX02_pub","any","smtp","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","88ab2d8f-1103-429f-9340-e6fab12789d0","any","none","Used","1","662","2021-07-29 14:31:05","2021-07-29 13:42:50"
"16","Geoblock","PA01","none","none","universal","untrust","BY;RU;UA","any","any","any","any","any","any","any","any","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: default","4d5c8e6a-ec67-4d1f-8121-813fb1af2665","any","Geoblocking fuer Russland, Ukraine und Belarus","Used","2","64","2022-03-14 07:58:18","2022-03-14 07:54:12"
"17","NoSpam to LAN","PA01","dmz","dmz","universal","dmz","NoSpam Server DMZ Public","any","any","trust","Domaincontroller-Gruppe","any","active-directory-base;dns;dns-base;kerberos;ldap;ms-ds-smb-base;ms-ds-smbv1;ms-ds-smbv3;ms-local-security-management;ms-netlogon;msrpc-base;ntp;ntp-base;ping","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","e109dce7-53e7-41b9-b686-74bea935d26e","any","none","Used","12","68","2023-02-01 08:44:14","2021-07-29 13:42:50"
"18","NoSpam to CA","PA01","dmz","dmz","universal","dmz","NoSpam Server DMZ Public","any","any","trust","WI216ISS-CA1","any","any","service-http","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","985695db-6fbd-4320-9180-6387bb822fa7","any","none","Used","2","12","2023-05-11 15:56:16","2023-05-11 15:51:07"
"19","NoSpam to NTP","PA01","dmz","dmz","universal","dmz","NoSpam Server DMZ Public","any","any","trust","NTP-Server","any","ntp","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","4dec5683-1e67-40af-ab42-e5bbb984eac8","any","none","Used","1","12","2023-05-11 16:10:31","2023-05-11 15:56:16"
"20","NoSpam to WAN","PA01","dmz","dmz","universal","dmz","NoSpam Server DMZ Public","any","any","untrust","any","any","any","DNS-TCP;DNS-UDP;service-http;service-https;SMTP_TCP25","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","34fd6fd8-58cf-44de-9891-0b03f0787fe6","any","none","Used","17","11","2023-05-12 11:31:01","2021-07-29 13:42:50"
"21","NoSpam to Exchange SMTP","PA01","dmz","dmz","universal","dmz","NoSpam Server DMZ Public","any","any","trust","WI216EXC1;WI216EXC2","any","any","SMTP_TCP25","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","4a2c2f60-1ae4-47fa-af63-39a40c25e419","any","none","Used","1","662","2021-07-29 14:31:05","2021-07-29 13:42:50"
"22","Exchange to NoSpam","PA01","dmz","dmz","universal","trust","WI216EXC1;WI216EXC2","any","any","dmz","NoSpam Server DMZ Public","any","any","SMTP_TCP25","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c9ef4993-9a6e-43d5-9468-cdb2dbaee969","any","none","Used","3","49","2021-07-29 14:31:05","2021-07-29 13:42:50"
"23","Exchange ausgehend Office 365","PA01","none","none","universal","trust","WI216EXC1;WI216EXC2","any","any","untrust","any","any","net.tcp;outlook-web-online;smtp-base;ssl;web-browsing","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","13e36cd6-4edc-4b4c-b06a-74399da3a7e9","any","none","Used","5","106","2023-02-06 12:04:21","2021-07-29 13:42:50"
"24","LAN to NoSpam","PA01","dmz","dmz","universal","trust","any","any","any","dmz","NoSpam Server DMZ Public","any","any","NoSpamProxy Disclaimer Website;NoSpamProxy Management;service-https;service-rdp","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","8f4e9edd-c035-4402-874b-311fa7042831","any","none","Used","2","662","2021-07-29 14:31:05","2021-07-29 13:42:50"
"25","ESRS_Out","PA01","EMC","EMC","universal","trust","EMC","any","any","untrust","any","any","any","AS2_8090_8091;ftp 21;ftps_990;service-https;service_8443;SMTP_TCP25;Unity_HTTPS_9443","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c44b7958-54f6-4490-bca1-bf1e2077de34","any","none","Used","1","662","2021-07-29 14:31:05","2021-07-29 13:42:50"
"26","Elesta_GLT_Pan2","PA01","GLT","GLT","universal","trust","Elesta-GLT_Pan2","any","any","untrust","any","any","dns;gmail-base;google-base;smtp","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","0be21c3e-2360-4e85-b1ff-e2ee1cffa541","any","eMail Benachrichtigung","Partially Used","1","628","2021-07-29 13:42:50","2021-07-29 13:42:50"
"27","Netscaler SVM to DMZ NSIP","PA01","Netscaler","Netscaler","universal","trust","Netscaler_SDX_ServiceManagement","any","any","DMZ_Public","Netscaler-DMZ","any","any","Ping;service-https","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","5c82c2c6-388c-4e7d-9286-68267a56811f","any","none","Used","1","662","2021-07-29 14:31:05","2021-07-29 13:42:50"
"28","ANY - To vServer SSL","PA01","Netscaler","Netscaler","universal","Apple-Devices;dmz;HKA;trust;untrust","any","any","any","dmz;DMZ_Public","adfs.haecker-kuechen.de;auth.haecker-kuechen.de;dmsws.haecker-kuechen.de;his2_pub_temp_neu;hks-k.haecker-kuechen.de;hks.haecker-kuechen.de;home-t.haecker-kuechen.de;home.haecker-kuechen.de;mail.haecker-kuechen.de_public;oauth.haecker-kuechen.de;osweb.haecker-kuechen.de;poolfahrzeuge.haecker-kuechen.de;portal.haecker-kuechen.de;projekte.haecker-kuechen.de;wms.haecker-kuechen.de;ws.haecker-kuechen.de","any","any","service-http;service-https","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","47efee3a-1444-411f-834a-e6c5d56360f4","any","Netscaler LB","Used","89","26","2023-05-16 08:25:54","2021-07-29 13:42:50"
"29","ANY - to wms MQTT","PA01","Netscaler","Netscaler","universal","untrust","any","any","any","DMZ_Public","wms.haecker-kuechen.de","any","any","MQTT","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","da6e5a6f-8592-48a3-8af5-2f7bb818477f","any","none","Used","22","11","2022-02-10 11:42:08","2021-07-29 13:42:50"
"30","Any  - to vServer Remote Probe","PA01","Netscaler","Netscaler","universal","any","any","any","any","DMZ_Public","monitoring.haecker-kuechen.de","any","any","PRTG Remote Probe","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","59064aab-8c1f-41c7-9d51-bb403ffe1c42","any","none","Used","11","399","2021-07-29 14:31:05","2021-07-29 13:42:50"
"31","Netscaler to MAS udn syslog","PA01","Netscaler","Netscaler","universal","DMZ_Public","NSDMZ1-SNIP;PANRZNSDMZ1;panrznsdmz2;W2RZNSDMZ1","any","any","trust","lnxsyslog;Netscaler-MAS;panrzsdx1;w2rzsdx1","any","any","Citrix APPFlow IPFIX;Netscaler EventLog;Ping;SNMP-UDP;Splunk IPFix;syslog_udp","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","b5e659ce-ac48-453f-aa29-e3e0317d834a","any","none","Used","6","55","2023-03-06 14:24:52","2021-07-29 13:42:50"
"32","SYSLOG to NSDMZ1","PA01","Netscaler","none","universal","trust","lnxsyslog","any","any","DMZ_Public","NSDMZ1-SNIP;PANRZNSDMZ1;W2RZNSDMZ1","any","any","SNMP-UDP","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","9efb5424-25b5-43f1-a16f-31250d1a160c","any","none","Unused","1","258","2023-03-06 14:24:52","2021-07-29 13:42:50"
"33","MAS-Untrust","PA01","Netscaler","none","universal","trust","Netscaler-MAS","any","any","untrust","any","any","ssl","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","d7c66943-78e5-49d1-bbcb-52dec654c92c","any","none","Used","1","106","2023-02-06 12:42:14","2023-02-06 12:35:10"
"34","WAVE-1","PA01","WAVE","WAVE","universal","SSL-VPN","any","haecker-dom\vpn-wave","any","trust","apex;apex-k;apex-t;Domaincontroller-Gruppe;lnxchase","any","dns;ping;ssl;web-browsing","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","a71b8521-aa85-4d26-9f7d-642d32300046","any","none","Partially Used","1","650","2021-07-29 14:31:05","2021-07-29 13:42:50"
"35","PhoenixContact","PA01","SSL-VPN","SSL-VPN","universal","SSL-VPN","any","haecker-dom\vpn-ga-sys-hdunker;haecker-dom\vpn-phoenixcontact","any","trust","GLT-Kochhaus;GLTPC-W2-INSTANDHALTUNG;GLTPC-W2-INSTANDHALTUNG-NEU","any","any","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","36938bd6-932f-4709-a213-b6062ace7428","any","none","Unused","0","-","2021-11-11 12:47:54","2021-07-29 13:42:50"
"36","VPN-AlwaysOn-Clients","PA01","VENNE;SSL-VPN","none","universal","HK_Venne;trust","any","any","any","SSL-VPN","VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","any","any","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","4b202684-9592-4811-a9f2-0a5c91e0c5a0","any","none","Used","38","8","2022-01-27 11:21:29","2021-07-29 13:42:50"
